iter	Passed	Remaining
0	169	33675
1	202	20074
2	228	15031
3	266	13073
4	308	12022
5	339	10973
6	369	10186
7	399	9581
8	426	9051
9	451	8572
10	484	8321
11	515	8072
12	567	8162
13	602	8009
14	637	7864
15	667	7676
16	701	7551
17	732	7402
18	757	7215
19	785	7065
20	819	6984
21	858	6945
22	900	6931
23	933	6847
24	959	6713
25	987	6606
26	1013	6496
27	1042	6405
28	1074	6335
29	1110	6291
30	1156	6305
31	1198	6292
32	1242	6287
33	1354	6613
34	1396	6584
35	1424	6490
36	1454	6409
37	1490	6353
38	1533	6330
39	1583	6333
40	1624	6299
41	1665	6266
42	1700	6208
43	1734	6148
44	1760	6064
45	1786	5980
46	1816	5913
47	1851	5861
48	1895	5842
49	1923	5770
50	1950	5697
51	1986	5653
52	2025	5617
53	2054	5553
54	2079	5483
55	2108	5420
56	2136	5358
57	2162	5293
58	2188	5229
59	2217	5174
60	2241	5108
61	2267	5046
62	2294	4990
63	2320	4932
64	2350	4881
65	2380	4833
66	2407	4778
67	2435	4727
68	2465	4680
69	2489	4623
70	2519	4578
71	2555	4542
72	2582	4492
73	2610	4444
74	2638	4397
75	2663	4345
76	2691	4300
77	2720	4254
78	2745	4204
79	2773	4159
80	2801	4115
81	2830	4073
82	2857	4027
83	2891	3992
84	2914	3942
85	2940	3898
86	2968	3855
87	2995	3812
88	3020	3766
89	3048	3725
90	3072	3679
91	3095	3634
92	3126	3597
93	3151	3553
94	3181	3516
95	3222	3491
96	3248	3448
97	3275	3409
98	3303	3370
99	3330	3330
100	3357	3291
101	3385	3253
102	3413	3214
103	3442	3177
104	3471	3140
105	3499	3103
106	3526	3065
107	3557	3030
108	3583	2991
109	3608	2952
110	3636	2915
111	3664	2879
112	3692	2842
113	3716	2803
114	3745	2768
115	3777	2735
116	3807	2700
117	3840	2669
118	3882	2642
119	3912	2608
120	3947	2577
121	3972	2539
122	4006	2508
123	4032	2471
124	4062	2437
125	4089	2401
126	4112	2363
127	4138	2328
128	4167	2293
129	4204	2263
130	4236	2231
131	4266	2198
132	4300	2166
133	4325	2130
134	4358	2098
135	4389	2065
136	4421	2033
137	4453	2000
138	4483	1967
139	4514	1934
140	4550	1904
141	4575	1869
142	4604	1835
143	4633	1801
144	4655	1765
145	4680	1731
146	4709	1697
147	4739	1665
148	4764	1630
149	4790	1596
150	4814	1562
151	4842	1529
152	4868	1495
153	4893	1461
154	4927	1430
155	4964	1400
156	5001	1369
157	5027	1336
158	5052	1302
159	5080	1270
160	5113	1238
161	5139	1205
162	5164	1172
163	5193	1139
164	5218	1106
165	5247	1074
166	5273	1041
167	5299	1009
168	5326	977
169	5349	944
170	5377	912
171	5404	879
172	5429	847
173	5466	816
174	5501	785
175	5549	756
176	5578	724
177	5609	693
178	5638	661
179	5671	630
180	5697	598
181	5722	565
182	5750	534
183	5779	502
184	5806	470
185	5835	439
186	5870	408
187	5899	376
188	5926	344
189	5955	313
190	5982	281
191	6009	250
192	6036	218
193	6062	187
194	6088	156
195	6116	124
196	6141	93
197	6173	62
198	6208	31
199	6234	0
